,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Henri Kantonen,Finland,5,2,3,40%,"6,8","0,8","0,4","0,4",100%,0,"0,8",0%,"0,4","1,2",33%,0,0,-,"0,2","0,4","0,6","0,2","0,6",0,0,0,"1,2",0,-1,"-0,2","1,8",8%,"0,44","104,9","100,9",4,"44,8","106,2","-61,4",33%,33%,11%,2,11%,2,0%,-,11%,0,33%,0,-,33%,2%,5%,0%,0%,10%,"0,3","2,10%","3,80%","0,00%","0,00%","4,70%","0,00%","8,70%","0,00%","3,30%","0,00%","0,00%","5,6",0,"-6,9","-0,1","0,1",0,"-0,051","-7,7",-1,"-8,7","-0,6","79,8","104,9","100,9",4,59%,19%,18%,9%,57%,16%,17%,16%,"75,8","112,8","119,2","-6,5",59%,37%,17%,8%,61%,33%,14%,8%,4,"-7,9","-18,3","10,4",-1%,-18%,1%,1%,-4%,-17%,3%,8%
Mikael Jantunen,Finland,5,2,3,40%,"24,4",8,"1,8","3,8",47%,1,"2,2",45%,"2,8",6,47%,"1,4","1,8",78%,"2,6","2,6","5,2","3,2","1,2","0,8","0,2",0,"2,4",0,"10,2",-3,8,19%,1,"107,8","111,8",-4,128,"104,1","23,9",55%,59%,15%,1,28%,"1,09",5%,0,3%,3,25%,"1,2",10%,15%,25%,16%,35%,30%,29%,"2,7","13,70%","11,60%","13,80%","0,00%","16,70%","22,50%","8,70%","0,00%","15,00%","2,10%","0,60%","6,4",0,"16,1","0,3","0,2","0,4","0,142","5,3","0,5","5,8","2,6","75,5","107,8","111,8",-4,55%,29%,16%,7%,59%,26%,15%,10%,78,"113,2","116,5","-3,3",63%,35%,19%,9%,61%,32%,14%,10%,"-2,5","-5,5","-4,7","-0,7",-7%,-6%,-3%,-2%,-2%,-6%,1%,0%
Elias Valtonen,Finland,5,2,3,40%,"22,8",7,"2,8","4,2",67%,"0,2","1,4",14%,3,"5,6",54%,"0,8","1,2",67%,"0,8","1,6","2,4","1,4","0,8","0,4","0,8",0,2,0,"6,2","-4,8","6,8",15%,"1,03","107,1",113,"-5,9","112,2","108,6","3,7",55%,58%,47%,"1,38",12%,"1,5",3%,0,9%,1,12%,0,6%,12%,9%,8%,15%,0%,17%,"1,8","4,10%","2,50%","4,40%","0,00%","9,40%","9,10%","6,50%","14,30%","6,60%","1,00%","2,40%","4,8",0,"10,7","0,1","0,1","0,2","0,069","-1,7","0,3","-1,4","0,2","73,9","107,1",113,"-5,9",57%,29%,18%,7%,59%,26%,14%,12%,"80,1","114,4","115,6","-1,2",61%,37%,17%,9%,61%,32%,15%,8%,"-6,3","-7,2","-2,5","-4,7",-4%,-8%,1%,-2%,-2%,-6%,-1%,4%
Alexander Madsen,Finland,5,2,3,40%,14,"6,6",2,"2,8",71%,"0,4",1,40%,"2,4","3,8",63%,"1,4",2,70%,"1,2","1,2","2,4","1,2","1,4","0,6","0,2",0,"1,8",0,"5,8","-0,4","6,2",24%,"1,06","115,5","114,3","1,2","112,3","107,4","4,9",68%,69%,35%,"1,27",10%,2,0%,-,0%,-,16%,"1,2",16%,23%,14%,6%,18%,25%,16%,"0,9","14,30%","17,40%","8,30%","0,00%","12,20%","8,70%","12,10%","0,00%","13,20%","2,50%","1,10%","7,6",0,"16,5","0,1","0,1","0,2","0,092","0,2","0,2","0,5","0,5","79,1","115,5","114,3","1,2",66%,29%,21%,10%,61%,24%,15%,13%,"75,8","108,6","114,2","-5,7",56%,34%,16%,7%,60%,30%,15%,9%,"3,3","6,9","0,1","6,9",10%,-5%,5%,3%,1%,-6%,0%,4%
Edon Maxhuni,Finland,5,2,3,40%,"16,4","7,2","1,2",3,40%,"1,6","3,4",47%,"2,8","6,4",44%,0,0,-,"0,2","0,6","0,8","3,8","1,2",1,0,0,1,0,7,-7,"7,6",14%,"0,95","110,7","124,1","-13,4","118,8","117,4","1,3",56%,56%,5%,0,13%,"1,2",21%,"0,75",5%,3,39%,"1,2",-,16%,19%,22%,28%,0%,33%,"3,2","0,90%","0,00%","1,30%","0,00%","3,10%","4,30%","1,70%","0,00%","1,90%","2,10%","0,00%","2,1",0,"17,3","0,2",0,"0,2","0,088","-1,2","-3,1","-4,2","-0,5","76,8","110,7","124,1","-13,4",59%,29%,17%,8%,64%,31%,14%,7%,"76,9","110,7","99,4","11,3",60%,38%,18%,8%,54%,25%,15%,14%,"-0,1",0,"24,7","-24,7",-2%,-9%,-1%,0%,10%,6%,-1%,-7%
Lauri Markkanen,Finland,5,2,3,40%,"26,6","24,8","6,6","9,8",67%,"1,6","6,4",25%,"8,2","16,2",51%,"6,8","7,6",89%,"1,8","6,2",8,"1,2","2,6","0,4",1,0,2,0,22,"1,4","22,4",50%,"1,11","110,7","103,9","6,7","99,9","93,1","6,8",56%,63%,24%,"1,63",12%,"1,23",8%,"0,67",2%,0,27%,"0,8",16%,12%,15%,13%,19%,0%,5%,"0,5","9,90%","4,50%","13,50%","0,00%","36,90%","38,90%","24,10%","50,00%","22,90%","1,00%","3,00%","4,9",0,"30,2",0,"0,3","0,3","0,083","5,1","-2,5","2,6","1,7","76,3","110,7","103,9","6,7",59%,27%,17%,9%,57%,26%,17%,9%,"77,4","110,7","125,3","-14,6",59%,37%,18%,8%,64%,31%,12%,11%,"-1,1",0,"-21,3","21,3",-1%,-10%,-1%,1%,-7%,-5%,6%,-2%
Jacob Grandison,Finland,5,2,3,40%,"10,8",3,"0,6",1,60%,"0,6","1,6",38%,"1,2","2,6",46%,0,0,-,"0,2","1,4","1,6","1,8","0,8","0,2",0,0,"1,4",0,3,"-3,4","3,4",17%,"0,88","113,2","126,3","-13,1","103,1","119,5","-16,3",58%,58%,0%,-,18%,2,12%,0,6%,3,41%,"0,86",-,24%,23%,32%,14%,9%,35%,"2,3","2,60%","0,00%","3,40%","0,00%","18,90%","0,00%","21,40%","50,00%","10,70%","1,10%","0,00%","7,4",0,"9,2",0,0,0,"0,003",-2,"-1,6","-3,6","-0,2","76,2","113,2","126,3","-13,1",62%,24%,17%,11%,63%,27%,9%,10%,77,"109,9","110,4","-0,5",58%,35%,17%,7%,59%,29%,17%,10%,"-0,8","3,3","15,9","-12,6",4%,-11%,0%,4%,3%,-2%,-8%,1%
Ilari Seppala,Finland,5,2,3,40%,13,"4,4","0,4","0,8",50%,"1,2","3,2",38%,"1,6",4,40%,0,0,-,0,"0,6","0,6","2,4","0,8","0,6",0,0,"1,6",0,"3,2","1,6","4,8",13%,"0,92","125,3","116,6","8,8","115,9","110,4","5,5",55%,55%,8%,2,0%,-,8%,0,21%,"1,2",46%,"1,09",-,17%,15%,9%,26%,19%,33%,3,"0,00%","0,00%","0,00%","0,00%","4,00%","2,60%","5,60%","0,00%","2,00%","1,80%","0,00%","4,9",0,"10,6","0,1","0,1","0,2","0,097","-2,3","-2,6","-4,9","-0,5","72,2","125,3","116,6","8,8",62%,37%,14%,9%,58%,32%,12%,9%,"80,4","100,4","112,6","-12,2",57%,29%,19%,7%,62%,25%,17%,11%,"-8,1","24,9",4,"20,9",5%,8%,-5%,2%,-5%,7%,-5%,-3%
Dyson Daniels,Australia,5,3,2,60%,2,"0,6",0,"0,4",0%,"0,2","0,6",33%,"0,2",1,20%,0,0,-,0,"0,2","0,2","0,4",0,"0,2",0,0,"0,2",0,"0,4",0,1,23%,"0,6","109,5","109,5",0,"66,5","95,5",-29,30%,30%,0%,-,40%,0,0%,-,0%,-,60%,1,-,0%,22%,29%,0%,-,29%,"0,4","0,00%","0,00%","0,00%","0,00%","10,00%","0,00%","0,00%","50,00%","4,80%","4,80%","0,00%","4,8",0,"7,4",0,0,0,"-0,059","-1,2","-1,3","-2,5",0,92,"109,5","109,5",0,55%,9%,5%,0%,58%,40%,20%,16%,"78,8","118,6","105,3","13,3",62%,29%,14%,9%,58%,23%,17%,7%,"13,2","-9,1","4,2","-13,3",-7%,-20%,-10%,-9%,0%,17%,3%,9%
Matisse Thybulle,Australia,5,3,2,60%,"14,6","2,8","0,6","0,8",75%,"0,4","1,6",25%,1,"2,4",42%,"0,4","0,4",100%,0,"0,6","0,6","0,2","0,2","0,6","0,4",0,2,0,1,"-2,4","2,8",6%,1,"110,2","112,2",-2,"79,4","110,7","-31,2",50%,54%,14%,2,14%,1,0%,-,29%,"0,75",29%,"0,75",7%,7%,1%,0%,0%,0%,7%,1,"0,00%","0,00%","0,00%","0,00%","3,40%","3,20%","3,40%","0,00%","1,70%","1,40%","1,10%","4,7",0,"3,9",0,"0,1",0,"0,021","-2,7","1,9","-0,8","0,2","78,3","110,2","112,2",-2,58%,26%,15%,8%,62%,22%,16%,7%,"80,6","126,7","97,8","28,9",65%,31%,12%,9%,53%,27%,18%,8%,"-2,3","-16,5","14,4","-30,9",-7%,-6%,3%,-2%,9%,-5%,-1%,-1%
Josh Giddey,Australia,5,3,2,60%,"27,6","19,4","7,4",12,62%,"0,4","2,4",17%,"7,8","14,4",54%,"3,4","5,2",65%,"0,6","4,4",5,6,"3,6","0,6",0,0,"1,6",0,"17,4","8,4","20,4",41%,"0,95","119,4","103,2","16,1","112,1","97,6","14,5",56%,58%,24%,"1,42",29%,"1,27",6%,"0,33",2%,0,10%,"0,6",12%,18%,43%,51%,38%,22%,23%,"1,7","3,30%","3,40%","2,40%","0,00%","21,00%","23,80%","17,20%","20,00%","12,80%","1,40%","0,00%","3,7",0,"18,9","0,3","0,2","0,5","0,154","3,9","-0,8","3,1",2,"78,6","119,4","103,2","16,1",63%,27%,15%,9%,55%,24%,16%,5%,"80,4","116,6","108,2","8,4",59%,29%,11%,9%,61%,25%,19%,11%,"-1,8","2,8",-5,"7,8",4%,-1%,4%,0%,-6%,-2%,-3%,-5%
Chris Goulding,Australia,5,3,2,60%,2,"0,4","0,2","0,4",50%,0,1,0%,"0,2","1,4",14%,0,0,-,0,0,0,0,0,"0,2",0,0,"0,2",0,"-0,8","-0,6","1,4",70%,"0,29","88,9",100,"-11,1","17,1","93,3","-76,2",14%,14%,0%,-,14%,2,14%,0,14%,0,57%,0,-,0%,0%,0%,-,-,0%,0,"0,00%","0,00%","0,00%",-,"0,00%",-,-,"0,00%","0,00%","9,10%","0,00%","9,1",0,"-9,7","-0,1",0,"-0,1","-0,397",-16,"-12,1","-28,2","-0,7",-,"88,9",100,"-11,1",44%,17%,10%,0%,79%,0%,36%,18%,"79,2","118,8","105,7","13,1",62%,29%,14%,9%,57%,25%,17%,7%,"-79,2","-29,9","-5,7","-24,3",-17%,-12%,-4%,-9%,21%,-25%,20%,11%
Patty Mills,Australia,5,3,2,60%,"31,6","18,6","4,6","8,6",53%,"2,4","6,2",39%,7,"14,8",47%,"2,2","2,2",100%,"0,2",5,"5,2",5,3,"1,6","0,2",0,"1,8",0,18,8,"18,2",42%,"1,02",125,"106,2","18,8","112,4","94,4","18,1",55%,61%,10%,"1,11",11%,"1,2",26%,1,8%,"1,71",26%,1,2%,16%,35%,34%,53%,19%,22%,"1,7","1,30%","2,10%","0,00%","0,00%","28,10%","14,00%","38,60%","0,00%","15,80%","4,10%","0,60%","4,7",0,17,"0,2","0,3","0,5","0,124","4,9","2,6","7,5","4,2","80,6",125,"106,2","18,8",67%,25%,14%,9%,59%,19%,17%,5%,"78,2","111,4","104,9","6,6",57%,30%,13%,8%,56%,30%,17%,10%,"2,4","13,6","1,4","12,2",10%,-5%,2%,0%,3%,-11%,0%,-5%
Josh Green,Australia,5,3,2,60%,"19,6","8,2","1,6","2,8",57%,1,"2,2",45%,"2,6",5,52%,2,"2,6",77%,"0,4","1,6",2,"1,4","0,4","1,6",0,0,"1,8",0,8,"2,4","6,4",19%,"1,28","110,6",102,"8,6","116,2","92,9","23,3",62%,68%,19%,1,22%,"1,43",3%,0,25%,"1,5",9%,1,16%,6%,12%,15%,9%,0%,18%,"3,5","3,10%","3,20%","3,00%","0,00%","12,10%","11,80%","10,80%","0,00%","7,60%","5,30%","0,00%","5,9",0,"15,2","0,1","0,2","0,3","0,127","5,7","2,6","8,3","2,8","81,5","110,6",102,"8,6",58%,23%,13%,8%,58%,18%,19%,9%,"78,1","122,8","107,7","15,1",63%,31%,14%,9%,57%,28%,16%,7%,"3,4","-12,2","-5,7","-6,4",-5%,-8%,-1%,0%,1%,-10%,3%,1%
Joe Ingles,Australia,5,3,2,60%,21,"6,6","0,4",1,40%,"1,4","4,4",32%,"1,8","5,4",33%,"1,6",2,80%,"0,2","3,2","3,4",3,"0,8","0,4",0,0,"1,6",0,7,"4,2","7,2",14%,"0,92","115,6","104,8","10,8","111,6","102,1","9,5",46%,52%,3%,0,8%,"1,33",3%,0,14%,"1,8",47%,"0,71",14%,11%,14%,7%,39%,16%,29%,"3,8","0,90%","0,00%","1,80%","0,00%","16,00%","13,30%","10,00%","28,60%","8,10%","0,90%","0,00%","3,5",0,"9,6","0,1","0,2","0,3","0,113",0,"-0,6","-0,6","0,4","77,8","115,6","104,8","10,8",58%,25%,12%,10%,56%,25%,16%,8%,"81,6","121,4","106,4",15,66%,33%,16%,7%,59%,24%,19%,7%,"-3,8","-5,8","-1,5","-4,2",-7%,-8%,-4%,3%,-3%,1%,-3%,1%
Xavier Cooks,Australia,5,3,2,60%,"17,2",9,4,6,67%,0,0,-,4,6,67%,1,"1,8",56%,"2,8","2,8","5,6","0,8","0,2","0,8","1,2",0,"1,8",0,"12,6","6,8",7,13%,"1,29","117,8","103,2","14,6","145,3","97,1","48,2",67%,66%,46%,"1,5",40%,"1,14",0%,-,0%,-,0%,-,11%,3%,4%,2%,7%,4%,10%,4,"12,80%","17,20%","5,30%","0,00%","12,40%","12,00%","10,40%","16,70%","12,60%","1,60%","2,90%","3,6",0,"23,7","0,3","0,3","0,6","0,298","1,2","2,2","3,5","1,3","78,4","117,8","103,2","14,6",61%,28%,14%,11%,56%,25%,18%,8%,"81,1","118,7","109,3","9,3",63%,28%,13%,5%,59%,24%,16%,7%,"-2,6","-0,9","-6,1","5,3",-2%,1%,0%,6%,-3%,1%,2%,2%
Dante Exum,Australia,5,3,2,60%,"18,6",11,"1,8","4,8",38%,"1,6","3,4",47%,"3,4","8,2",41%,"2,6","2,8",93%,1,"1,6","2,6",3,1,0,"0,4",0,"1,8",0,"9,2","3,6","10,4",20%,"1,06","115,8",107,"8,8","123,1","107,7","15,4",51%,59%,17%,"0,89",23%,"0,83",6%,0,8%,"2,25",25%,"1,15",12%,10%,16%,14%,37%,0%,22%,3,"4,60%","4,40%","3,90%","0,00%","8,40%","2,70%","11,10%","0,00%","6,40%","0,00%","1,10%","3,9",0,"16,5","0,3","0,1","0,4","0,175","1,5","-2,3","-0,8","0,3","78,4","115,8",107,"8,8",59%,25%,13%,9%,59%,24%,17%,8%,"80,7","121,3","103,6","17,8",64%,33%,14%,7%,56%,25%,17%,7%,"-2,3","-5,5","3,4","-8,9",-5%,-9%,-1%,2%,2%,0%,0%,0%
Jack White,Australia,5,3,2,60%,"7,6","2,2","0,8",1,80%,"0,2","0,2",100%,1,"1,2",83%,0,0,-,"0,4","1,2","1,6","0,6","0,8","0,2",0,0,"0,4",0,"3,2","5,2",2,13%,"1,1","128,8","89,4","39,4","113,4","84,7","28,7",92%,92%,10%,2,40%,"1,5",0%,-,0%,-,10%,3,-,40%,10%,12%,11%,0%,23%,"0,8","6,90%","0,00%","13,30%","0,00%","16,70%","14,30%","13,60%","50,00%","12,30%","1,50%","0,00%",3,0,"10,3",0,"0,1","0,2","0,166","-1,8","1,7","-0,1","0,2","78,2","128,8","89,4","39,4",65%,31%,13%,7%,47%,28%,17%,11%,"79,6",116,"108,7","7,3",61%,28%,14%,9%,60%,24%,17%,7%,"-1,5","12,8","-19,3","32,1",5%,3%,0%,-2%,-13%,4%,0%,3%
Nick Kay,Australia,5,3,2,60%,"23,6","6,4",2,3,67%,"0,6","1,8",33%,"2,6","4,8",54%,"0,6","0,8",75%,"2,2","2,4","4,6","2,2",1,"0,4","0,2",0,"2,2",0,"8,2",4,"6,2",13%,"1,03","116,9","106,3","10,6","126,2","103,3","22,9",60%,62%,29%,"1,33",19%,"1,33",0%,-,6%,"1,5",19%,1,6%,16%,11%,7%,28%,0%,26%,"2,2","12,00%","12,70%","9,10%","0,00%","12,50%","14,60%","9,40%","0,00%","12,20%","0,90%","0,50%",5,0,"10,6","0,2","0,2","0,4","0,132","1,3","0,9","2,2","1,4","79,6","116,9","106,3","10,6",64%,18%,15%,8%,58%,24%,17%,8%,"79,2","119,7","104,5","15,1",59%,38%,12%,10%,57%,25%,17%,7%,"0,3","-2,8","1,8","-4,6",5%,-20%,3%,-2%,1%,-1%,-1%,1%
Duop Reath,Australia,5,3,2,60%,"14,8","8,6","2,2","2,6",85%,"1,2","1,6",75%,"3,4","4,2",81%,"0,6","0,6",100%,"1,2","1,2","2,4","0,6","0,6","0,8","1,4",0,"2,8",0,"9,6","8,4",5,11%,"1,72","130,1","109,2","20,9","164,3","100,9","63,4",95%,98%,24%,"1,67",28%,"1,71",0%,-,4%,3,28%,"2,14",4%,12%,3%,3%,0%,7%,11%,1,"7,30%","4,30%","9,50%",-,"6,50%","7,90%","5,70%","0,00%","6,90%","2,10%","4,20%","7,2",0,"23,2","0,3","0,2","0,5","0,271","3,6","3,7","7,3","1,9","81,7","130,1","109,2","20,9",64%,34%,12%,7%,59%,26%,17%,8%,"77,3","106,5",102,"4,5",58%,23%,16%,10%,57%,23%,17%,8%,"4,4","23,6","7,3","16,4",6%,11%,-4%,-3%,2%,4%,0%,0%
Gael Bonilla,Mexico,5,2,3,40%,"14,4","5,4","1,6",3,53%,"0,4","0,6",67%,2,"3,6",56%,1,1,100%,"0,2","2,4","2,6",1,"0,8",1,"0,4",0,"0,4",0,"7,6","-5,6","4,8",14%,"1,13","89,1","109,9","-20,8","101,1","99,1",2,61%,68%,25%,1,33%,"1,25",4%,0,4%,3,8%,"1,5",8%,17%,9%,10%,11%,7%,17%,"1,3","1,30%","0,00%","3,00%","0,00%","19,00%","22,60%","12,10%","11,10%","9,40%","3,30%","1,70%","1,3",0,"21,7",0,"0,2","0,2","0,09","-1,6","2,2","0,6","0,5","80,2","89,1","109,9","-20,8",50%,18%,18%,10%,60%,27%,18%,10%,"80,5","110,2","123,5","-13,3",59%,28%,14%,9%,66%,25%,15%,9%,"-0,3","-21,1","-13,6","-7,5",-9%,-9%,4%,1%,-6%,2%,2%,1%
Fabian Jaimes,Mexico,5,2,3,40%,30,"11,4","4,2","6,8",62%,"0,4",2,20%,"4,6","8,8",52%,"1,8","2,6",69%,"2,8","5,6","8,4",4,1,"0,6",0,0,"3,8",0,"14,6",-6,11,15%,"1,04","105,4","116,5","-11,1","126,1","111,1",15,55%,57%,18%,"1,6",36%,"1,1",7%,1,2%,0,16%,"0,67",11%,9%,15%,14%,27%,4%,27%,4,"9,20%","10,30%","6,80%","7,10%","19,40%","14,70%","18,30%","12,50%","14,20%","0,90%","0,00%","5,8",0,20,"0,3","0,1","0,5","0,125","0,6","-0,5","0,2","0,9","80,8","105,4","116,5","-11,1",56%,22%,14%,10%,63%,23%,16%,10%,"78,3","85,3","126,9","-41,6",52%,30%,21%,8%,69%,57%,17%,7%,"2,5","20,1","-10,4","30,5",4%,-8%,-7%,1%,-5%,-34%,-1%,4%
Paul Stoll,Mexico,5,2,3,40%,"30,4","10,8","0,2","0,4",50%,"2,6","5,8",45%,"2,8","6,2",45%,"2,6","2,8",93%,"0,4",1,"1,4","7,2","2,8","2,4",0,0,"3,2",0,"12,2","-3,4",10,15%,"1,08",110,"117,6","-7,6","137,3","108,9","28,4",66%,75%,0%,-,0%,-,4%,1,2%,3,56%,"1,29",10%,28%,28%,27%,31%,32%,42%,"2,6","1,50%","0,00%","3,60%","0,00%","4,10%","3,40%","4,10%","0,00%","2,80%","4,10%","0,00%","5,4",0,"19,6","0,5","0,1","0,7","0,183","2,7","-2,4","0,4",1,"80,8",110,"117,6","-7,6",59%,22%,15%,9%,64%,24%,17%,10%,"79,3","78,4",120,"-41,6",44%,27%,18%,10%,63%,34%,15%,10%,"1,4","31,6","-2,4","33,9",14%,-5%,-4%,-1%,1%,-11%,1%,-1%
Jorge Gutierrez,Mexico,5,2,3,40%,"10,6","2,8","0,6","1,2",50%,"0,2",1,20%,"0,8","2,2",36%,1,"1,2",83%,"0,2","1,2","1,4","1,4","0,6","0,6",0,0,"2,4",0,"1,6","-6,4","3,4",10%,"0,82","94,8","115,7","-20,9","95,5","109,6","-14,2",41%,50%,12%,1,6%,2,18%,"0,67",6%,0,24%,"0,75",18%,18%,11%,9%,10%,6%,29%,"2,3","1,50%","0,00%","4,00%","0,00%","8,50%","9,40%","7,30%","0,00%","5,10%","2,00%","0,00%","7,8",0,"8,1",0,"0,1","0,1","0,039","-3,8","-0,7","-4,6","-0,4","81,8","94,8","115,7","-20,9",54%,18%,19%,12%,60%,27%,15%,14%,"79,6","106,4","119,8","-13,4",56%,27%,14%,8%,67%,25%,17%,7%,"2,2","-11,7","-4,1","-7,5",-2%,-9%,5%,4%,-6%,1%,-3%,7%
Moises Andriassi,Mexico,5,2,3,40%,"1,8","0,2",0,"0,2",0%,0,"0,6",0%,0,"0,8",0%,"0,2","0,4",50%,0,0,0,"0,2",0,0,0,0,0,0,"-0,6","-1,8",1,20%,"0,2",80,116,-36,"18,2","115,5","-97,3",0%,10%,0%,-,20%,0,0%,-,0%,-,60%,0,20%,0%,11%,0%,0%,-,17%,"0,2","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",0,0,"-12,5","-0,1",0,"-0,1","-0,482","-10,6",-9,"-19,6","-0,4","83,4",80,116,-36,48%,0%,16%,4%,60%,33%,17%,0%,"80,2","103,4","118,4","-14,9",56%,25%,15%,10%,64%,25%,16%,10%,"3,2","-23,4","-2,4","-21,1",-8%,-25%,1%,-6%,-4%,8%,1%,-10%
Pako Cruz,Mexico,5,2,3,40%,"31,8","18,2",4,"7,8",51%,"2,6","7,2",36%,"6,6",15,44%,"2,4","2,8",86%,"0,4",3,"3,4","4,6","3,2","1,4",0,0,"2,4",0,"13,2",-10,"19,4",27%,"0,94","100,3","117,8","-17,5","100,9","111,6","-10,8",53%,55%,7%,"0,57",16%,"1,63",16%,"0,63",8%,"0,75",28%,"1,22",7%,16%,21%,28%,18%,4%,19%,"1,4","1,30%","2,20%","0,00%","0,00%","11,00%","6,30%","13,60%","0,00%","6,00%","2,20%","0,00%","3,8",0,"18,6",0,"0,1","0,1","0,03","0,4","-2,7","-2,4","-0,2",81,"100,3","117,8","-17,5",55%,19%,17%,9%,64%,26%,16%,8%,"77,7","109,2",120,"-10,8",55%,40%,11%,13%,66%,27%,16%,17%,"3,3","-8,9","-2,2","-6,7",0%,-20%,6%,-4%,-3%,-2%,0%,-9%
Gabriel Giron,Mexico,5,2,3,40%,"30,4","11,2","1,4","4,8",29%,"2,2","4,4",50%,"3,6","9,2",39%,"1,8","2,4",75%,"0,4","2,4","2,8","1,8","1,2","0,8",0,0,3,0,"6,2","-5,2","11,6",27%,"0,97","109,5","126,3","-16,8","88,5","119,1","-30,5",51%,54%,17%,"0,8",17%,"0,6",7%,0,3%,0,33%,"1,74",10%,10%,12%,11%,21%,7%,13%,"1,5","2,40%","0,00%","6,70%","0,00%","15,40%","10,00%","11,80%","27,30%","8,60%","2,10%","0,00%","7,7",0,"10,3","-0,1",0,"-0,2","-0,041","-1,6","-2,2","-3,8","-0,8","80,6","109,5","126,3","-16,8",59%,20%,14%,11%,70%,22%,17%,7%,"80,3","94,6","110,4","-15,9",52%,27%,17%,9%,59%,30%,16%,13%,"0,3","14,9","15,8","-0,9",7%,-7%,-3%,2%,11%,-8%,1%,-6%
Orlando Mendez,Mexico,5,2,3,40%,"8,8","2,6","0,4",1,40%,"0,6","2,2",27%,1,"3,2",31%,0,0,-,0,0,0,"0,6","0,8",0,0,0,"0,4",0,"-0,2","-3,2",4,18%,"0,65","105,8","123,5","-17,8","77,2","122,2","-44,9",41%,41%,0%,-,10%,1,15%,"0,67",0%,-,55%,"0,82",-,20%,7%,5%,8%,10%,13%,"0,8","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",2,0,"-0,8","-0,1",0,"-0,1","-0,116","-8,5","-5,9","-14,5","-1,5","77,3","105,8","123,5","-17,8",56%,21%,14%,10%,64%,23%,13%,17%,"81,5","100,7","116,4","-15,7",55%,25%,16%,10%,64%,27%,17%,7%,"-4,2","5,1","7,1",-2,1%,-4%,-2%,0%,0%,-4%,-4%,10%
Jorge Camacho,Mexico,5,2,3,40%,2,"0,4","0,2","0,4",50%,0,0,-,"0,2","0,4",50%,0,0,-,"0,2","0,2","0,4",0,"0,2",0,0,0,0,0,"0,4","-3,6","0,6",15%,"0,67","84,2","188,9","-104,7","60,5","178,8","-118,3",50%,50%,67%,1,0%,-,0%,-,0%,-,0%,-,-,33%,0%,0%,0%,0%,0%,0,"12,50%","0,00%","25,00%",-,"25,00%","0,00%","25,00%",-,"16,70%","0,00%","0,00%",0,0,"5,7",0,"-0,1","-0,1","-0,347","-10,7","-5,1","-15,8","-0,4","83,1","84,2","188,9","-104,7",50%,13%,20%,20%,100%,50%,15%,5%,"80,3","102,9","114,9",-12,55%,24%,15%,9%,62%,25%,16%,10%,"2,8","-18,7",74,"-92,7",-5%,-12%,5%,11%,38%,25%,-1%,-5%
Israel Gutierrez,Mexico,5,2,3,40%,"14,6",4,"1,4",3,47%,0,0,-,"1,4",3,47%,"1,2","1,8",67%,"0,4",2,"2,4","0,8","1,2","0,4",0,0,2,0,"2,2","-8,4",5,10%,"0,8","94,4","114,5","-20,1","73,8","111,4","-37,5",47%,53%,32%,1,28%,"0,86",0%,-,0%,-,0%,-,16%,24%,4%,8%,0%,0%,14%,"0,7","1,80%","1,70%","1,90%","0,00%","10,30%","4,70%","10,70%","11,10%","5,80%","0,90%","0,00%","4,4",0,"5,7","-0,1","0,1","-0,1","-0,036","-6,5","-0,5",-7,-1,"79,5","94,4","114,5","-20,1",53%,15%,17%,8%,62%,24%,17%,10%,"81,6","112,4","123,4",-11,58%,37%,14%,11%,66%,30%,16%,10%,"-2,1",-18,"-8,9","-9,1",-5%,-22%,3%,-3%,-4%,-6%,1%,0%
Joshua Ibarra,Mexico,5,2,3,40%,"24,4",15,"6,4",13,49%,0,0,-,"6,4",13,49%,"2,2","3,8",58%,"2,2","3,6","5,8","0,6","1,4","0,4","0,6",0,"3,4",0,"9,4","-2,6",16,46%,"0,94","109,6","120,3","-10,6","85,6","110,4","-24,8",49%,51%,33%,"1,15",45%,"0,89",4%,"0,67",0%,-,0%,-,10%,9%,8%,30%,0%,0%,4%,"0,4","15,70%","18,80%","11,10%","0,00%","28,60%","25,00%","25,70%","14,30%","21,80%","1,30%","2,40%","11,1",0,"18,3","-0,2","0,1","-0,2","-0,053","-5,2","-4,5","-9,7","-2,6","79,8","109,6","120,3","-10,6",56%,26%,13%,9%,66%,24%,17%,9%,"80,8","97,2","116,9","-19,8",55%,23%,17%,10%,63%,27%,16%,10%,"-0,9","12,5","3,3","9,1",2%,3%,-5%,-2%,3%,-4%,1%,-1%
